SYMBOL,DATE,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
BHARTIARTL,2026-03-06,EQ,1900.0,1902.1,1867.1,1870.8,1873.0,1907.0,10896859,20511535465.7,222475,INE397D01024
BHEL,2026-03-06,EQ,256.55,264.45,255.75,258.95,259.0,257.25,10342609,2706764017.3,74003,INE257A01026
BIOCON,2026-03-06,EQ,387.0,394.25,385.8,390.7,390.25,386.8,2552685,998976137.7,46959,INE376G01013
BLUESTARCO,2026-03-06,EQ,1939.0,1976.2,1908.7,1948.5,1955.2,1946.7,957837,1867499091.7,51890,INE472A01039
BOSCHLTD,2026-03-06,EQ,33305.0,33610.0,32920.0,33335.0,33375.0,33230.0,17779,591588670.0,7773,INE323A01026
BPCL,2026-03-06,EQ,362.05,362.05,351.2,352.75,352.95,360.35,10536915,3737850357.35,96921,INE029A01011
BRITANNIA,2026-03-06,EQ,5948.0,6013.0,5926.5,5983.0,5989.5,5963.0,348722,2086729262.0,43627,INE216A01030
BSE,2026-03-06,EQ,2750.0,2789.0,2736.4,2751.6,2750.9,2761.4,3007569,8315193732.9,124501,INE118H01025
BSOFT,2026-03-06,EQ,380.0,384.8,369.5,371.2,373.65,378.55,760177,286270925.45,20102,INE836A01035
CAMS,2026-03-06,EQ,646.15,661.8,642.5,648.85,650.7,652.35,1623932,1057180790.6,62643,INE596I01020
CANBK,2026-03-06,EQ,147.58,149.34,145.6,145.97,146.02,148.51,23417808,3447298422.56,80200,INE476A01022
CANFINHOME,2026-03-06,EQ,822.9,838.8,821.05,827.3,828.5,826.8,84721,70280914.95,9431,INE477A01020
CASTROLIND,2026-03-06,EQ,186.0,187.77,186.0,186.82,187.13,186.48,1145757,214228615.13,14814,INE172A01027
CDSL,2026-03-06,EQ,1226.0,1248.0,1221.9,1224.1,1226.0,1239.6,1119602,1381761847.2,37281,INE736A01011
CEATLTD,2026-03-06,EQ,3398.0,3488.8,3383.7,3457.8,3462.0,3412.4,111067,382993090.1,15994,INE482A01020
CESC,2026-03-06,EQ,155.95,158.39,152.72,153.57,153.4,155.54,1730942,268419148.73,33431,INE486A01021
CGPOWER,2026-03-06,EQ,700.0,722.5,696.0,715.45,716.8,701.1,2922020,2090494952.85,46743,INE067A01029
CHAMBLFERT,2026-03-06,EQ,434.05,436.3,425.15,427.65,427.5,433.3,513403,220599458.5,16419,INE085A01013
CHENNPETRO,2026-03-06,EQ,1015.0,1043.0,983.45,1007.5,1008.0,991.5,3586973,3637288159.6,107649,INE178A01016
CHOLAFIN,2026-03-06,EQ,1664.0,1674.6,1620.0,1626.3,1621.5,1669.0,1022219,1676092214.5,52577,INE121A01024
CIPLA,2026-03-06,EQ,1326.1,1332.7,1315.0,1321.2,1323.8,1326.4,695774,921025773.3,31127,INE059A01026
COALINDIA,2026-03-06,EQ,451.15,451.6,438.6,440.45,441.5,449.4,10553695,4676559317.25,109915,INE522F01014
COFORGE,2026-03-06,EQ,1152.7,1181.8,1148.1,1162.9,1165.0,1152.7,1741522,2025288169.6,50517,INE591G01025
COLPAL,2026-03-06,EQ,2200.1,2220.0,2196.4,2204.6,2205.0,2200.6,233352,514760005.0,19198,INE259A01022
CONCOR,2026-03-06,EQ,479.0,489.0,476.2,479.75,481.2,479.95,972797,471940232.3,21655,INE111A01025
COROMANDEL,2026-03-06,EQ,2099.0,2099.0,1995.0,2022.3,2043.0,2063.5,467479,947038580.5,45608,INE169A01031
CROMPTON,2026-03-06,EQ,249.9,251.65,247.05,248.0,248.25,250.1,961019,239456736.85,21649,INE299U01018
CUB,2026-03-06,EQ,268.4,268.7,258.05,259.75,259.9,268.15,1974924,519470437.2,48177,INE491A01021
CUMMINSIND,2026-03-06,EQ,4791.4,4924.4,4755.6,4800.7,4824.0,4791.4,892005,4321345215.4,60050,INE298A01020
CYIENT,2026-03-06,EQ,870.0,893.4,868.8,884.85,888.95,885.8,193290,171579395.95,19550,INE136B01020
DABUR,2026-03-06,EQ,486.0,486.15,477.5,478.6,478.1,487.9,1190560,572628901.3,65786,INE016A01026
DALBHARAT,2026-03-06,EQ,1929.0,1930.5,1890.7,1899.8,1900.0,1928.7,183615,350326778.2,12196,INE00R701025
DCBBANK,2026-03-06,EQ,172.52,176.6,171.0,171.44,171.4,173.18,930716,161707541.7,17834,INE503A01015
DEEPAKNTR,2026-03-06,EQ,1533.5,1543.6,1510.6,1523.7,1528.0,1535.9,84409,129080703.3,7785,INE288B01029
DELHIVERY,2026-03-06,EQ,425.05,430.5,421.3,422.6,423.7,428.1,595318,254103459.5,16809,INE148O01028
DELTACORP,2026-03-06,EQ,58.17,58.95,58.1,58.59,58.73,58.42,623498,36478140.72,4374,INE124G01033
DISHTV,2026-03-06,EQ,2.6,2.64,2.58,2.61,2.62,2.6,2419293,6327664.86,1807,INE836F01026
DIVISLAB,2026-03-06,EQ,6340.0,6428.0,6315.0,6329.0,6325.0,6364.5,269349,1719098991.5,34855,INE361B01024
DIXON,2026-03-06,EQ,10199.0,10290.0,9990.0,10029.0,10035.0,10224.0,462851,4695020472.0,50548,INE935N01020
DLF,2026-03-06,EQ,584.6,584.85,574.85,577.55,578.4,585.15,5424431,3140569127.6,107440,INE271C01023
DMART,2026-03-06,EQ,3825.0,3903.9,3825.0,3875.8,3881.5,3835.4,224906,869824580.2,23461,INE192R01011
DRREDDY,2026-03-06,EQ,1313.5,1316.4,1290.8,1303.8,1309.0,1313.5,963701,1258547201.1,57720,INE089A01031
EICHERMOT,2026-03-06,EQ,7733.0,7735.0,7603.0,7620.5,7625.5,7755.0,366235,2796874956.0,61908,INE066A01021
ENGINERSIN,2026-03-06,EQ,204.4,209.18,203.9,204.87,204.9,204.86,3287405,679418920.58,29610,INE510A01028
ESCORTS,2026-03-06,EQ,3330.3,3373.0,3271.0,3291.6,3280.9,3333.3,37125,123589560.7,9275,INE042A01014
ETERNAL,2026-03-06,EQ,240.63,242.9,231.58,232.57,233.04,240.14,44605775,10497036714.55,213814,INE758T01015
EXIDEIND,2026-03-06,EQ,320.2,323.2,315.2,315.95,316.05,319.65,775564,247422603.45,20298,INE302A01020
FEDERALBNK,2026-03-06,EQ,286.4,291.25,285.6,286.5,286.8,289.7,3826606,1104692766.15,69257,INE171A01029
FORTIS,2026-03-06,EQ,920.95,927.85,890.15,892.55,894.9,920.95,1309652,1187608895.2,29440,INE061F01013
FSL,2026-03-06,EQ,223.11,227.62,218.01,219.5,220.01,223.11,1818066,401887849.44,31669,INE684F01012
GAIL,2026-03-06,EQ,155.9,157.8,153.65,155.71,155.6,156.73,14633439,2283389247.97,109474,INE129A01019
GLENMARK,2026-03-06,EQ,2094.4,2138.0,2094.4,2124.4,2126.7,2108.9,431504,915441818.6,27939,INE935A01035
GMRAIRPORT,2026-03-06,EQ,97.41,99.5,94.84,95.06,95.0,97.98,18335854,1768016603.47,44390,INE776C01039
GNFC,2026-03-06,EQ,430.0,435.85,428.3,431.3,429.05,433.1,142603,61639768.85,9359,INE113A01013
GODFRYPHLP,2026-03-06,EQ,2033.0,2102.2,2023.5,2052.9,2058.5,2033.0,484016,1001979576.8,35358,INE260B01028
GODREJCP,2026-03-06,EQ,1132.4,1132.5,1114.0,1116.6,1115.1,1132.4,883212,990307119.5,42250,INE102D01028
GODREJIND,2026-03-06,EQ,934.8,944.3,927.5,936.9,939.0,932.6,25494,23902371.1,3006,INE233A01035
GODREJPROP,2026-03-06,EQ,1743.8,1743.8,1660.2,1667.3,1675.0,1743.8,2211721,3718782117.3,54065,INE484J01027
